,SegName,SegNum
0,Breezy Beach ride,17553180
1,Beach 221 to Breezy Entrance/Exit,14462968
2,Rockaway Point Sprint ,2394699
3,From bus stop to bus stop (M35),24751716
4,Beach 221st to Ft tilden first traffic light sprint East,4841714
5,Rockaway Point Blvd - Westbound,14748237
6,Beach 221st to Fort Tilden (Corrected),16531916
7,Breezy Point to Bridge In,7754782
8,Sprinting to the sunrise ,20433541
9,Marine Parkway Bridge descend,22254666
10,"Gil Hodges Memorial Bridge east bound- only when clear, ride safe. ",2394458
11,Marine Parkway Bridge Climb S,26503152
12,Rockaway TT B125-B9-B125,21810457
13,Boardwalk West Climb,5782007
14,Neptune Ave: Cropsey Ave to Ocean Pkwy,20992322
15,Brighton Beach - Coney Island Boardwalk,2239371
16,Cronston Ave: B125 to B144,25939973
17,Homerun,7138332
18,Eastbound New 2018 Gerritsen Overpass Climb,17251290
19,Gerritsen Descent to Flatbush Ave,21542175
20,Emmons to Greenway,22122678
21,Belt pkwy to Plum Beach,8099847
22,Marine Park hill,1738680
23,beltss,10240358
24,Arverne Ramp to Concessions,22621351
25,Aviation Road eastbound,15168731
26,Sprint from Y to X,9986267
27,Rockaway Fwy 106>95 Sprint,24478313
28,2019 Eastbound Mill Basin Bridge Climb,20008023
29,Belt Parkway Roubaix (South),24107991
30,Belt Pkwy Bike Path Sprint South,19547767
31,Belt Pkwy: 17th Ave Bridge to Baseball Fields Sprint,19547553
32,Cross Bay Blvd Bagel Deli Sprint,25264888
33,Belt Parkway Roubaix (North),24107959
34,One Lap Around Marine Park,1248539
35,Kings to S,12876235
36,"Oh that's twisty, that's very twisty",21766488
37,Bay Ridge Promenade 1k Sprint to the Hill,22599515
38,11th Ave Climb,26600746
39,Verrazano Mini Climb,9879093
40,One Lap Around Marine Park (Flag Start/Finish),8504972
41,O to P,12876226
42,Brooklyn College south,5388487
43,"Bridge over Paerdegat Basin, climb West-bound",7991116
44,Brooklyn College north,5388606
45,Brooklyn College Sprint ,15511489
46,All you got 10 sec,1504853
47,Steep up and long down,22500195
48,Campus Curve,20849500
49,Fountain Ring,22956958
50,Shirley Chisholm Start,24391076
51,The Ring (Gun to Head 10 Laps ),25701964
52,Fountain Av Landfill Waterside Sprint,22586524
53,Addabbo North Uphill,25134412
54,Shirley Chisholm race to the summit!,24391092
55,Chisholm Straightaway,21562184
56,Sister Sister,17393037
57,68th St Downhill Along Owl's Head Park,21119195
58,12th Ave Sprint.,7991103
59,Downhill Sprint ,17054820
60,PPflats,9341758
61,The Gravel,10505054
62,Who TF is Jeff?! Or Danny?!,24927548
63,Warm up to Crossbay Sprint,6194450
64,N Boundary Rd Sprint,25441710
65,Chisholm,24628551
